Date, Time, Event
07-May-26,15:00:18,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 1 
07-May-26,15:00:18,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,15:00:18,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:00:18,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,15:00:23,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:00:28,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:00:33,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,15:00:33,LWM2M: Observe: 9  : 0  : 1  Status: 0  Index: 0 
07-May-26,15:00:33,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,15:00:33,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,15:00:34,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,15:00:38,NBIT: Cereg: 2 
07-May-26,15:00:41,NBIT: Cereg: 1 
07-May-26,15:00:46,NBIT: SINR: 0  RSSI: 19 
07-May-26,15:00:47,NBIT: Cereg: 1 
07-May-26,15:00:48,NBIT: Transmission: 1390 
07-May-26,15:01:15,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,15:01:16,NBIT: Earfcn: 3701 
07-May-26,15:01:16,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,15:01:16,NBIT: Cell ID: 0338AB79 
07-May-26,15:01:16,NBIT: RSRQ: -14  RSRP: -89 
07-May-26,15:01:16,NBIT: SINR: 0  RSSI: -75 
07-May-26,15:01:16,NBIT: TAC: 29901  Band: 8 
07-May-26,15:01:16,NBIT: Opr Mode: 3  Tx Power: 90  ECL: 1 
07-May-26,15:01:16,NBIT: Sleep Duration: 0 
07-May-26,15:01:16,NBIT: Rx Time(s): 317 
07-May-26,15:01:16,NBIT: Tx Time(s): 33 
07-May-26,15:01:16,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,15:01:16,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,15:01:16,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 1 
07-May-26,15:01:17,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 1 
07-May-26,15:01:17,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,15:01:17,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:01:17,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 0 
07-May-26,15:01:22,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:01:27,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:01:32,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,15:01:32,LWM2M: Observe: 9  : 0  : 7  Status: 0  Index: 0 
07-May-26,15:01:32,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,15:01:32,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,15:01:33,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,15:01:37,NBIT: Cereg: 2 
07-May-26,15:01:40,NBIT: Cereg: 1 
07-May-26,15:01:43,NBIT: Cereg: 1 
07-May-26,15:01:45,NBIT: SINR: 0  RSSI: 18 
07-May-26,15:02:05,LWM2M: Request: 10376  : 0  : 6  Type: 10  Status: 0 
07-May-26,15:02:06,NBIT: Earfcn: 3701 
07-May-26,15:02:06,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,15:02:06,NBIT: Cell ID: 0338AB79 
07-May-26,15:02:06,NBIT: RSRQ: -13  RSRP: -88 
07-May-26,15:02:06,NBIT: SINR: 0  RSSI: -75 
07-May-26,15:02:06,NBIT: TAC: 29901  Band: 8 
07-May-26,15:02:06,NBIT: Opr Mode: 3  Tx Power: 230  ECL: 0 
07-May-26,15:02:06,NBIT: Sleep Duration: 0 
07-May-26,15:02:06,NBIT: Rx Time(s): 178 
07-May-26,15:02:06,NBIT: Tx Time(s): 28 
07-May-26,15:02:06,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 1 
07-May-26,15:02:06,LWM2M: Request: 10376  : 1  : 6  Type: 10  Status: 1 
07-May-26,15:02:06,LWM2M: Request: 10377  : 0  : 3  Type: 10  Status: 1 
07-May-26,15:02:06,LWM2M: Request: 9  : 0  : 1  Type: 10  Status: 1 
07-May-26,15:02:06,LWM2M: Observe: 10376  : 0  : 6  Status: 0  Index: 0 
07-May-26,15:02:07,NBIT: Transmission: 1400 
07-May-26,15:02:07,LWM2M: Request: 9  : 0  : 7  Type: 10  Status: 0 
07-May-26,15:02:07,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:02:12,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:02:17,NBIT: CME Error: 3  BC66 SubState: 0  BC66 State: PROCESS_REQUEST_Bc66LinkState 
07-May-26,15:02:22,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_TIMEOUT 
07-May-26,15:02:22,LWM2M: Observe: 10376  : 1  : 6  Status: 0  Index: 0 
07-May-26,15:02:22,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: RESP_ERR 
07-May-26,15:02:22,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Error: HARD_RESET 
07-May-26,15:02:23,NBIT: Temp(C): 52  Volt(mV): 3012  Modem Power State: ACTIVE 
07-May-26,15:02:27,NBIT: Cereg: 2 
07-May-26,15:02:30,NBIT: Cereg: 1 
07-May-26,15:02:35,NBIT: Cereg: 1 
07-May-26,15:02:35,NBIT: SINR: 0  RSSI: 18 
07-May-26,15:02:56,LWM2M: Request: 9  : 0  : 9  Type: 10  Status: 0 
07-May-26,15:02:57,NBIT: Earfcn: 3701 
07-May-26,15:02:57,NBIT: Pci: 140  EarfcnOffset: 2 
07-May-26,15:02:57,NBIT: Cell ID: 0338AB79 
07-May-26,15:02:57,NBIT: RSRQ: -14  RSRP: -89 
07-May-26,15:02:57,NBIT: SINR: 0  RSSI: -75 
07-May-26,15:02:57,NBIT: TAC: 29901  Band: 8 
07-May-26,15:02:57,NBIT: Opr Mode: 3  Tx Power: 90  ECL: 0 
