 Timestamp, Code
 06/07/26 02:20:38 , LWM2M: Request: 10376   : 0   : 6  Type: 10  Status: 0  
 06/07/26 02:20:38 , LWM2M: Request: 10376   : 1   : 6  Type: 10  Status: 0  
 06/07/26 02:20:39 , LWM2M: Request: 10377   : 0   : 3  Type: 10  Status: 0  
 06/07/26 02:20:39 , LWM2M: Request: 9   : 0   : 7  Type: 10  Status: 0  
 06/07/26 02:20:39 , LWM2M: Request: 9   : 0   : 9  Type: 10  Status: 0  
 06/07/26 02:20:40 , LWM2M: Request: 9   : 0   : 1  Type: 10  Status: 0  
 06/07/26 02:20:40 , LWM2M: Observe: 10376   : 0   : 6  Status: 0  Index: 0  
 06/07/26 02:20:41 , LWM2M: Observe: 10376   : 1   : 6  Status: 0  Index: 0  
 06/07/26 02:20:42 , LWM2M: Observe: 10377   : 0   : 3  Status: 0  Index: 0  
 06/07/26 02:20:44 , LWM2M: Observe: 9   : 0   : 7  Status: 0  Index: 0  
 06/07/26 02:20:45 , LWM2M: Observe: 9   : 0   : 9  Status: 0  Index: 0  
 06/07/26 02:20:47 , LWM2M: Observe: 9   : 0   : 1  Status: 0  Index: 0  
 06/07/26 02:20:55 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
 06/07/26 02:20:56 , LWM2M: Notify: 9   : 0   : 1  Status: 1  Ack: 2  
 06/07/26 02:21:08 , NBIT: Lwm2m Recovered: 10  
 06/07/26 02:21:08 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 2  
 06/07/26 02:21:10 , NBIT: Cereg: 0  
 06/07/26 02:21:10 , NBIT: Cereg: 2  
 06/07/26 02:21:13 , NBIT: Cereg: 1  
 06/07/26 02:21:14 , NBIT: Cereg: 1  
 06/07/26 02:21:19 , NBIT: SINR: 0  RSSI: 15  
 06/07/26 02:21:21 , NBIT: Transmission: 27810  
 06/07/26 02:21:21 , NBIT: Temp(C): 30  Volt(mV): 3009  Modem Power State: 1  
